n(SMILES),PCE_max(%),PCE_ave(%),Jsc(mA/cm2),FF,Voc(V),Eg_n(eV),M (g/mol),HOMO_n(eV),'-LUMO_n(eV)
O=C(C(C=CC=C1)=C1C/2=C(C#N)\C#N)C2=C/C3=CC(S4)=C(S3)C5=C4C6=CC(C(C7=C8SC9=C7SC(/C=C%10C(C(C=CC=C%11)=C%11C\%10=C(C#N)\C#N)=O)=C9)(C%12=CC=CC(OCC(CC)CCCC)=C%12)C%13=CC(OCC(CC)CCCC)=CC=C%13)=C8C=C6C(C%14=CC(OCC(CC)CCCC)=CC=C%14)5C%15=CC=CC(OCC(CC)CCCC)=C%15,9.77,9.77,15.88,0.68,0.88,1.62,1604.17,5.25,3.63
O=C(C(C=CC=C1)=C1C/2=C(C#N)\C#N)C2=C/C3=CC(S4)=C(S3)C5=C4C6=CC(C(C7=C8SC9=C7SC(/C=C%10C(C(C=CC=C%11)=C%11C\%10=C(C#N)\C#N)=O)=C9)(C%12=CC=CC(OCCCCCC)=C%12)C%13=CC(OCCCCCC)=CC=C%13)=C8C=C6C(C%14=CC(OCCCCCC)=CC=C%14)5C%15=CC=CC(OCCCCCC)=C%15,9.55,9.55,15.99,0.7,0.85,1.6,1491.95,5.25,3.65
O=C(C(C=CC=C1)=C1C/2=C(C#N)\C#N)C2=C/C3=CC(S4)=C(S3)C5=C4C6=CC(C(CCCCCCCC)(CCCCCCCC)C7=C8SC9=C7SC(/C=C%10C(C(C=CC=C%11)=C%11C\%10=C(C#N)\C#N)=O)=C9)=C8C=C6C5(CCCCCCCC)CCCCCCCC,13.2,12.4,19.6,0.72,0.94,1.72,1235.78,5.63,3.91
O=C(C(C=CC=C1)=C1C/2=C(C#N)\C#N)C2=C/C3=CC(S4)=C(S3)C5=C4C6=CC(C(CCCCCCCCCCCCCCCC)(CCCCCCCCCCCCCCCC)C7=C8SC9=C7SC(/C=C%10C(C(C=CC=C%11)=C%11C\%10=C(C#N)\C#N)=O)=C9)=C8C=C6C5(CCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCC,11.2,10.7,17.3,0.704,0.919,1.84,1684.64,5.68,3.84
O=C(C(C=CC=C1)=C1C/2=C(C#N)\C#N)C2=C/C3=CC([Si]4(CCCCCCCCC)CCCCCCCC)=C(S3)C5=C4C6=C(CCCCCC)C(SC7=C8[Si](CCCCCCCC)(CCCCCCCC)C9=C7SC(/C=C%10C(C(C=CC=C%11)=C%11C\%10=C(C#N)\C#N)=O)=C9)=C8C(CCCCCC)=C6S5,8.3,8.1,16.2,0.596,0.84,1.51,1450.28,5.37,3.86
O=C(C(C=CC=C1)=C1C/2=C(C#N)\C#N)C2=C/C3=CC=C(C(S4)=CC5=C4C(SC(C6=CC=C(/C=C7C(C(C=CC=C8)=C8C\7=C(C#N)/C#N)=O)S6)=C9)=C9C(CC(CC)CCCC)5CC(CC)CCCC)S3,2.75,2.54,7.89,0.374,0.86,1.49,975.32,5.75,4.26
O=C(C(C=CC=C1)=C1C/2=C(C#N)\C#N)C2=C/C3=CC=C(C4=CC=C(C5=CC=C(C(SC(C6=CC=C(/C=C7C(C(C=CC=C8)=C8C\7=C(C#N)/C#N)=O)S6)=C9)=C9C%10(CC(CC)CCCC)CC(CC)CCCC)C%10=C5)S4)S3,8.0,7.82,13.94,0.598,0.94,1.71,1051.41,5.89,4.18
O=C(C(C=CC=C1)=C1C/2=O)C2=C/C3=CC=C(C4=CC=C(C(C=CC(C5=CC=C(/C=C6C(C(C=CC=C7)=C7C\6=O)=O)S5)=C8)=C8[Si]9(CCCCCCCC)CCCCCCCC)C9=C4)S3,2.85,2.85,7.91,0.46,0.61,2.07,883.25,5.71,3.64
O=C(C(SC=C1)=C1C/2=C(C#N)\C#N)C2=C/C3=CC(S4)=C(S3)C5=C4C6=CC(C(C(C=C7)=CC=C7CCCCCC)(C(C=C8)=CC=C8CCCCCC)C9=C%10SC%11=C9SC(/C=C%12C(C(SC=C%13)=C%13C\%12=C(C#N)\C#N)=O)=C%11)=C%10C=C6C5(C%14=CC=C(C=C%14)CCCCCC)C%15=CC=C(C=C%15)CCCCCC,9.51,9.41,14.2,0.62,1.07,1.81,1440.0,5.63,3.82
O=C(C/1=C\C2=C(CCCCCC)C=C(C3=CC(OCC(CCCCCC)CCCCCCCC)=C(C4=CC(CCCCCC)=C(/C=C(/C(C5=C6C=C(F)C(F)=C5)=C(C#N)\C#N)C6=O)S4)C=C3OCC(CCCCCC)CCCCCCCC)S2)C7=C(C=C(F)C(F)=C7)C1=C(C#N)/C#N,10.27,10.07,16.73,0.66,0.93,1.78,1371.88,5.59,3.81
O=C(C/1=C\C2=C(OCCCCCC)C=C(C3=CC(OCC(CCCCCC)CCCCCCCC)=C(C4=CC(OCCCCCC)=C(/C=C(/C(C5=C6C=C(F)C(F)=C5)=C(C#N)\C#N)C6=O)S4)C=C3OCC(CCCCCC)CCCCCCCC)S2)C7=C(C=C(F)C(F)=C7)C1=C(C#N)/C#N,6.62,6.28,12.6,0.52,1.01,1.82,1403.88,5.48,3.66
O=C(C/1=C\C2=CC(S3)=C(S2)C4=C3C5=CC(C(C6=CC=C(CCCCCC)S6)(C7=CC=C(CCCCCC)S7)C8=C9SC%10=C8SC(/C=C%11/C(C%12=C(C)SC(C)=C%12C%11=O)=C(C#N)\C#N)=C%10)=C9C=C5C4(C%13=CC=C(CCCCCC)S%13)C%14=CC=C(CCCCCC)S%14)C%15=C(C)SC(C)=C%15C1=C(C#N)\C#N,10.56,10.22,17.4,0.65,0.904,1.58,1520.2,5.48,3.9
O=C(C/1=C\C2=CC(SC3=C4C(C5=CSC(CCCCCC)=C5)(C6=CC=C(S6)CCCCCC)C7=CC8=C(C(C9=CC=C(S9)CCCCCC)(C%10=CC=C(S%10)CCCCCC)C%11=C8SC%12=C%11SC(/C=C%13C(C%14=C(C\%13=C(C#N)/C#N)C=C(F)C=C%14)=O)=C%12)C=C37)=C4S2)C%15=C(C1=C(C#N)/C#N)C=CC(F)=C%15,6.92,6.83,13.35,0.617,0.84,1.65,1488.02,5.48,3.83
O=C(C/1=C\C2=CC=C(C3=CC(OCC(CCCCCC)CCCCCCCC)=C(C4=CC=C(/C=C(/C(C5=C6C=C(F)C(F)=C5)=C(C#N)\C#N)C6=O)S4)C=C3OCC(CCCCCC)CCCCCCCC)S2)C7=C(C=C(F)C(F)=C7)C1=C(C#N)/C#N,4.08,3.67,8.22,0.54,0.92,1.82,1203.55,5.62,3.8
O=C(C1=C(C)SC=C1C/2=C(C#N)\C#N)C2=C/C3=CC(S4)=C(S3)C5=C4C6=CC(C(C7=C8SC9=C7SC(/C=C%10C(C%11=C(C)SC=C%11C\%10=C(C#N)\C#N)=O)=C9)(C%12=CC=CC(CCCCCC)=C%12)C%13=CC(CCCCCC)=CC=C%13)=C8C=C6C(C%14=CC(CCCCCC)=CC=C%14)5C%15=CC=CC(CCCCCC)=C%15,12.08,11.73,18.45,0.692,0.919,1.64,1468.05,5.54,3.9
O=C(C1=C(C2=CC=C(C(/C(C3=CC=C(N(C4=C5C=CC=C4)C6=C5C=CC=C6)C=C3)=C(C#N)\C#N)=C(C#N)/C#N)S2)N7CCCCCCCCCC)N(CCCCCCCCCC)C(C8=CC=C(C#CC9=CC=C(N%10C(C=CC=C%11)=C%11C%12=C%10C=CC=C%12)C=C9)S8)=C1C7=O,7.19,7.09,13.78,0.58,0.9,1.52,1239.61,5.33,3.81
O=C(C1=C(C2=CC=C(C(/C(C3=CC=C(N(C4=C5C=CC=C4)C6=C5C=CC=C6)C=C3)=C(C#N)\C#N)=C(C#N)/C#N)S2)N7CCCCCCCCCC)N(CCCCCCCCCC)C(C8=CC=CS8)=C1C7=O,4.86,4.72,10.56,0.49,0.94,1.69,974.3,5.52,3.83
O=C(C1=C(C2=CC=C(C3=CC4=C(C=C3)C5=C(C=C(C(S6)=CC=C6C(N7CC(CC)CCCC)=C(C(C7=O)=C8C9=CC=CS9)C(N8CC(CC)CCCC)=O)C=C5)C4%10C(C=C(C(S%11)=CC=C%11C(N%12CC(CC)CCCC)=C(C(C%12=O)=C%13C%14=CC=CS%14)C(N%13CC(CC)CCCC)=O)C=C%15)=C%15C%16=C%10C=C(C(S%17)=CC=C%17C(N%18CC(CC)CCCC)=C(C(C%18=O)=C%19C%20=CC=CS%20)C(N%19CC(CC)CCCC)=O)C=C%16)S2)N%21CC(CC)CCCC)N(CC(CC)CCCC)C(C%22=CC=CS%22)=C1C%21=O,5.42,5.42,7.74,0.6,1.17,1.67,2407.47,5.51,3.84
O=C(C1=C(N(CCCCCCCCCC)C(C1C2C3=CC=C(S3)C(/C(C4=CC=C(C=C4)N5C(C=CC=C6)=C6C7=C5C=CC=C7)=C(C#N)/C#N)=C(C#N)\C#N)=O)C8=CC=CS8)N2CCCCCCCCCC,9.29,9.17,13.48,0.65,1.06,1.75,976.32,5.58,3.83
O=C(C1=CSC=C1C/2=C(C#N)/C#N)C2=C/C3=C(CCCCCCCCCCC)C(SC4=C5N(CC(CC)CCCC)C6=C4C7=NSN=C7C8=C6N(CC(CC)CCCC)C9=C8SC%10=C9SC(/C=C%11/C(C%12=CSC=C%12C%11=O)=C(C#N)\C#N)=C%10CCCCCCCCCCC)=C5S3,13.46,13.26,21.21,0.716,0.89,1.8,1392.02,5.56,3.76
O=C(N(C(CC)CC)C1=O)C2=C(CCC(C)(C)C)C=C(C3=C4C=C(CCC(C)(C)C)C1C32)C5=CC(CCC(C)(C)C)=C6C7=C5C4=CC(CCC(C)(C)C)=C7C(N(C(CC)CC)C6=O)=O,0.5,0.5,1.74,0.38,0.75,2.1,869.29,5.9,3.8
O=C(N(C(CC)CC)C1=O)C2=CC=C(C3=C4C=CC1C32)C5=C(C(C=C6)=CC=C6C7=C(C8=CC=C(C9=C(C%10=CC=C(C%11=O)C%12C%10=C%13C=CC%12C(N%11C(CC)CC)=O)C(C%13=CC=C%14C(N(C(CC)CC)C%15=O)=O)=C%14C%15=C9)C=C8)C(C%16=CC=C(C%17=C(C%18=C%19C=CC%20C%18C(C(N(C(CC)CC)C%20=O)=O)=C%17)C%21=CC=C%22C%23=C%21C%19=CC=C%23C(N(C(CC)CC)C%22=O)=O)C=C%16)=C(C%24=CC=C(C%25=C(C%26=C%27C=CC%28C%26C(C(N(C(CC)CC)C%28=O)=O)=C%25)C%29=CC=C%30C%31=C%29C%27=CC=C%31C(N(C(CC)CC)C%30=O)=O)C=C%24)C(C%32=CC=C(C%33=C(C%34=CC=C(C%35=O)C%36C%34=C%37C=CC%36C(N%35C(CC)CC)=O)C(C%37=CC=C%38C(N(C(CC)CC)C%39=O)=O)=C%38C%39=C%33)C=C%32)=C7C%40=CC=C(C%41=C(C%42=C%43C=CC%44C%42C(C(N(C(CC)CC)C%44=O)=O)=C%41)C%45=CC=C%46C%47=C%45C%43=CC=C%47C(N(C(CC)CC)C%46=O)=O)C=C%40)C=C%48C%49=C5C4=CC=C%49C(N(C(CC)CC)C%48=O)=O,6.63,6.22,15.11,0.48,0.92,1.76,3718.45,5.69,3.93
O=C(N(C(CC)CC)C1=O)C2=CC=C(C3=C4C=CC1C32)C5=CC=C6C7=C5C4=CC=C7C(N(C(CC)CC)C6=O)=O,3.71,3.64,8.1,0.519,0.8,2.1,532.64,5.900000000000001,3.8
O=C(N(C(CC)CC)C1=O)C2=CC=C3C(C2=C1C=C4)=C4C5=CC=C(C(N6C(CC)CC)=O)C7=C5C3=CC(C(C=C8C(N(C(CCCCCCC)CCCCCCC)C9=O)=O)=C%10C%11=C8C9=CC=C%11C%12=C(C%13=CC%14=C%15C(C%16=CC=C%17C%18=C%16C%14=CC=C%18C(N(C(CC)CC)C%17=O)=O)=CC=C(C%19=O)C%15=C%13C(N%19C(CC)CC)=O)C=C(C(N(C(CCCCCCC)CCCCCCC)C%20=O)=O)C%21=C%20C=CC%10=C%12%21)=C7C6=O,4.55,4.55,12.61,0.481,0.751,2.1,1868.38,6.09,3.99
O=C(N(C(CC)CC)C1=O)C2=CC=C3C(C2=C1C=C4)=C4C5=CC=C(C(N6C(CC)CC)=O)C7=C5C3=CC(C(C=C8C(N(C(CCCCCCC)CCCCCCC)C9=O)=O)=C%10C%11=C8C9=CC=C%11C%12=CC=C(C(N(C(CCCCCCC)CCCCCCC)C%13=O)=O)C%14=C%13C=CC%10=C%12%14)=C7C6=O,2.84,2.84,10.51,0.409,0.661,2.1,1339.77,6.11,4.01
O=C(N(C(CC)CC)C1=O)C2=CC=C3C4=C(C5=C(N6CC(CC)CCCC)C=C(C(N(C(CC)CC)C7=O)=O)C8=C7C=C(C9=CC%10=C%11C(C%12=C(N%13CC(CC)CCCC)C=C%11C(N(C(CC)CC)C%10=O)=O)=C9C%14=CC=C(C(N(C(CC)CC)C%15=O)=O)C%16=C%15C=C%13C%12=C%14%16)C3=C58)C6=CC1=C42,5.5,5.5,8.2,0.55,1.21,2.3,1309.66,5.900000000000001,3.6
O=C(N(C(CC)CC)C1=O)C2=CC=C3C4=C(C5=C6C=C(C(N(C(CC)CC)C7=O)=O)C8=C7C=C(C9=CC%10=C%11C(C%12=C(N%13CC(CC)CCCC)C=C%11C(N(C(CC)CC)C%10=O)=O)=C9C%14=CC=C(C(N(C(CC)CC)C%15=O)=O)C%16=C%15C=C%13C%12=C%14%16)C3=C58)C(N6CC(CCCC)CC)=CC1=C42,7.3,6.2,11.1,0.54,1.09,2.2,1309.66,5.9,3.7000000000000006
O=C(N(C(CCC)CCC)C1=O)C2=CC=C(C3=C4C=CC1=C32)C5=CC(C(S6)=CC7=C6C(C8=CC=C(C9=CC%10=C%11C(C%12=CC=C%13C%14=C%12C%10=CC=C%14C(N(C(CCC)CCC)C%13=O)=O)=CC=C(C%15=O)C%11=C9C(N%15C(CCC)CCC)=O)S8)=C(C=C(C%16=CC%17=C%18C(C%19=CC=C%20C%21=C%19C%17=CC=C%21C(N(C(CCC)CCC)C%20=O)=O)=CC=C(C%22=O)C%18=C%16C(N%22C(CCC)CCC)=O)S%23)C%23=C7C%24=CC=C(C%25=C%26C%27=C(C%28=CC=C%27C(N(C(CCC)CCC)C%26=O)=O)C(C%29=CC=C(C(N(C(CCC)CCC)C%30=O)=O)C%31=C%30C=CC%28=C%29%31)=C%25)S%24)=C%32C%33=C5C4=CC=C%33C(N(C(CCC)CCC)C%32=O)=O,7.38,7.08,15.02,0.58,0.81,2.15,2693.38,5.94,3.79
O=C(N(C(CCC)CCC)C1=O)C2=CC=C(C3=C4C=CC1=C32)C5=CC(C(S6)=CC7=C6C(C8=CC=C(C9=CC%10=C%11C(C%12=CC=C%13C%14=C%12C%10=CC=C%14C(N(C(CCC)CCC)C%13=O)=O)=CC=C(C%15=O)C%11=C9C(N%15C(CCC)CCC)=O)[Se]8)=C(C=C(C%16=CC%17=C%18C(C%19=CC=C%20C%21=C%19C%17=CC=C%21C(N(C(CCC)CCC)C%20=O)=O)=CC=C(C%22=O)C%18=C%16C(N%22C(CCC)CCC)=O)S%23)C%23=C7C%24=CC=C(C%25=C%26C%27=C(C%28=CC=C%27C(N(C(CCC)CCC)C%26=O)=O)C(C%29=CC=C(C(N(C(CCC)CCC)C%30=O)=O)C%31=C%30C=CC%28=C%29%31)=C%25)[Se]%24)=C%32C%33=C5C4=CC=C%33C(N(C(CCC)CCC)C%32=O)=O,6.61,6.32,14.36,0.55,0.81,2.16,2787.18,5.97,3.81
O=C(N(C(CCC)CCC)C1=O)C2=CC=C(C3=C4C=CC1C32)C5=CC(C(C=C6)=CC=C6C(C7=CC=C(C8=CC9=C%10C(C%11=CC=C%12C%13=C%11C9=CC=C%13C(N(C(CCC)CCC)C%12=O)=O)=CC=C(C%14=O)C%10C8C(N%14C(CCC)CCC)=O)C=C7)(C%15=CC=C(C%16=CC%17=C%18C(C%19=CC=C%20C%21=C%19C%17=CC=C%21C(N(C(CCC)CCC)C%20=O)=O)=CC=C(C%22=O)C%18C%16C(N%22C(CCC)CCC)=O)C=C%15)C%23=CC=C(C%24=C%25C%26=C(C%27=CC=C%26C(N(C(CCC)CCC)C%25=O)=O)C(C%28=CC=C(C%29=O)C%30C%28=C%27C=CC%30C(N%29C(CCC)CCC)=O)=C%24)C=C%23)=C%31C%32=C5C4=CC=C%32C(N(C(CCC)CCC)C%31=O)=O,4.71,4.6,11.55,0.47,0.85,2.31,2667.36,6.06,3.75
O=C(N(C(CCC)CCC)C1=O)C2=CC=C(C3=C4C=CC1C32)C5=CC(C(C=C6)=CC=C6[Si](C7=CC=C(C8=CC9=C%10C(C%11=CC=C%12C%13=C%11C9=CC=C%13C(N(C(CCC)CCC)C%12=O)=O)=CC=C(C%14=O)C%10C8C(N%14C(CCC)CCC)=O)C=C7)(C%15=CC=C(C%16=CC%17=C%18C(C%19=CC=C%20C%21=C%19C%17=CC=C%21C(N(C(CCC)CCC)C%20=O)=O)=CC=C(C%22=O)C%18C%16C(N%22C(CCC)CCC)=O)C=C%15)C%23=CC=C(C%24=C%25C%26=C(C%27=CC=C%26C(N(C(CCC)CCC)C%25=O)=O)C(C%28=CC=C(C%29=O)C%30C%28=C%27C=CC%30C(N%29C(CCC)CCC)=O)=C%24)C=C%23)=C%31C%32=C5C4=CC=C%32C(N(C(CCC)CCC)C%31=O)=O,3.68,3.64,10.35,0.42,0.83,2.29,2683.44,6.06,3.77
O=C(N(C(CCCC)CCCC)C1=O)C2=CC=C3C4=C(C5=CC=C(C(N(C(CCCC)CCCC)C6=O)=O)C7=C6C=CC3=C57)C(C8=C9C([N+]%10=CC=C9)=C(O[Al-3]%11%12([N+]%13=CC=CC%14=C(C%15=CC%16=C%17C(C%18=CC=C%17C(N(C(CCCC)CCCC)C%16=O)=O)=C%15C%19=CC=C(C(N(C(CCCC)CCCC)C%20=O)=O)C%21=C%20C=CC%18=C%19%21)C=CC(O%12)=C%14%13)%10OC%22=C([N+]%11=CC=C%23)C%23=C(C%24=CC%25=C%26C%27=C%24C%28=CC=C(C(N(C(CCCC)CCCC)C%29=O)=O)C%30=C%29C=CC(C%27=CC=C%26C(N(C(CCCC)CCCC)C%25=O)=O)=C%30%28)C=C%22)C=C8)=CC1=C42,7.82,7.49,13.56,0.663,0.87,2.14,2381.91,5.9,3.76
O=C(N(C(CCCC)CCCC)C1=O)C2=CC=C3C4=C2C1=CC(C5=C6C7=C(C8=C5C=C(C(N9C(CCCC)CCCC)=O)C%10=C8C(C%11=CC=C%12C(N(C(CCCC)CCCC)C%13=O)=O)=CC=C%10C9=O)C%11=C%12C%13=C7)=C4C%14=C6C=C(C(N%15C(CCCC)CCCC)=O)C%16=C%14C3=C(C%17=C%18C([N+]%19=CC=C%18)=C(O[Al-3]%19%20%21([N+]%22=CC=CC%23=C(C%24=C(C%25=CC=C(C(N%26C(CCCC)CCCC)=O)C%27=C%25C%28=C%29C=C%27C%26=O)C(C%28=C(C%30=C%29C(C=C%31C(N(C(CCCC)CCCC)C%32=O)=O)=C(C%33=C%31C%32=CC=C%33%34)C%35=C%30C=C%36C%37=C%35C%34=CC=C%37C(N(C(CCCC)CCCC)C%36=O)=O)C=C%38C(N(C(CCCC)CCCC)C%39=O)=O)=C%38C%39=C%24)C=CC(O%21)=C%23%22)OC%40=C([N+]%20=CC=C%41)C%41=C(C%42=C(C%43=CC=C(C(N%44C(CCCC)CCCC)=O)C%45=C%43C%46=C%47C=C%45C%44=O)C(C%46=C(C%48=C%47C(C=C%49C(N(C(CCCC)CCCC)C%50=O)=O)=C(C%51=C%49C%50=CC=C%51%52)C%53=C%48C=C%54C%55=C%53C%52=CC=C%55C(N(C(CCCC)CCCC)C%54=O)=O)C=C%56C(N(C(CCCC)CCCC)C%57=O)=O)=C%56C%57=C%42)C=C%40)C=C%17)C=C%16C%15=O,9.54,9.26,15.74,0.713,0.85,2.1,4370.4,5.98,3.88
O=C(N(C(CCCCC)CCCCC)C1=O)C(C1=C2)=CC(C2=C3)=CC4=C3C5=N/C4=N\C(N67)=C8C(C=C(C=C(C(N(C(CCCCC)CCCCC)C9=O)=O)C9=C%10)C%10=C8)=C6N=C%11N(B7OC%12=CC=CC=C%12)/C(C%13=C%11C=C%14C(C=C(C(N(C(CCCCC)CCCCC)C%15=O)=O)C%15=C%14)=C%13)=N\5,1.99,1.95,4.73,0.381,1.1,1.73,1308.45,5.52,3.79
O=C(N(C(CCCCC)CCCCC)C1=O)C2=C(CC(C)(C)C)C=C(C3=C4C=C(C(C)(C)C)C1C32)C5=CC=C(C(C=C6)=CC=C6C7=CC=C8C9=C7C=CC=C9C%10=C%11C8=CC(CC(C)(C)C)=C(C(N(C(CCCCC)CCCCC)C%12=O)=O)C%11C%12C(CC(C)(C)C)=C%10)C%13=C5C4=CC=C%13,0.1,0.1,0.2,0.44,0.75,2.09,1295.89,5.77,3.68
O=C(N(C(CCCCC)CCCCC)C1=O)C2=C(CC(C)(C)C)C=C(C3=C4C=C(CC(C)(C)C)C1C32)C5=CC=C(C(S6)=CC=C6C7=CC=C8C9=C7C=CC=C9C%10=C%11C8=CC(CC(C)(C)C)=C(C(N(C(CCCCC)CCCCC)C%12=O)=O)C%11C%12C(CC(C)(C)C)=C%10)C%13=C5C4=CC=C%13,0.1,0.1,0.2,0.44,0.68,2.01,1315.94,5.77,3.76
O=C(N(C(CCCCC)CCCCC)C1=O)C2=C(CC(C)(C)C)C=C(C3=C4C=C(CC(C)(C)C)C1C32)C5=CC=C(C6=CC(C(C7=CC=C(CC(CC)CCCC)S7)=C(SC(C8=CC=C9C%10=C8C=CC=C%10C%11=C%12C9=CC(CC(C)(C)C)=C(C(N(C(CCCCC)CCCCC)C%13=O)=O)C%12C%13C(CC(C)(C)C)=C%11)=C%14)C%14=C%15C%16=CC=C(CC(CC)CCCC)S%16)=C%15S6)C%17=C5C4=CC=C%17,0.1,0.1,0.4,0.4,0.7,1.99,1810.75,5.66,3.67
O=C(N(C(CCCCC)CCCCC)C1=O)C2=C(CC(C)(C)C)C=C(C3=C4C=C(CC(C)(C)C)C1C32)C5=CC=C(C6=CC(C(C7=CC=C(CCCCCC)C=C7)(C8=CC=C(CCCCCC)C=C8)C9=C%10C=C%11C(C(SC(C%12=CC=C%13C%14=C%12C=CC=C%14C%15=C%16C%13=CC(CC(C)(C)C)=C(C(N(C(CCCCC)CCCCC)C%17=O)=O)C%16C%17C(CC(C)(C)C)=C%15)=C%18)=C%18C%11(C%19=CC=C(CCCCCC)C=C%19)C%20=CC=C(CCCCCC)C=C%20)=C9)=C%10S6)C%21=C5C4=CC=C%21,0.1,0.1,0.4,0.38,0.7,1.89,2139.22,5.56,3.67
O=C(N(C(CCCCC)CCCCC)C1=O)C2=C(CC(C)(C)C)C=C(C3=C4C=C(CC(C)(C)C)C1C32)C5=CC=C(C6=CC(C(OCC(CC)CCCC)=C(SC(C7=CC=C8C9=C7C=CC=C9C%10=C%11C8=CC(CC(C)(C)C)=C(C(N(C(CCCCC)CCCCC)C%12=O)=O)C%11C%12C(CC(C)(C)C)=C%10)=C%13)C%13=C%14OCC(CC)CCCC)=C%14S6)C%15=C5C4=CC=C%15,0.1,0.1,0.3,0.42,0.66,1.95,1678.51,5.63,3.68
O=C(N(C(CCCCC)CCCCC)C1=O)C2=C(CC(C)(C)C)C=C(C3=C4C=C(CC(C)(C)C)C1C32)C5=CC=C(C6=CC(SC(C7=CC=C8C9=C7C=CC=C9C%10=C%11C8=CC(CC(C)(C)C)=C(C(N(C(CCCCC)CCCCC)C%12=O)=O)C%11C%12C(CC(C)(C)C)=C%10)=C%13)=C%13S6)C%14=C5C4=CC=C%14,0.2,0.2,0.3,0.44,0.67,1.97,1372.02,5.67,3.7
O=C(N(C(CCCCC)CCCCC)C1=O)C2=C(CC(C)(C)C)C=C(C3=C4C=C(CC(C)(C)C)C1C32)C5=CC=C(C6=CC=C(C(S7)=CC=C7C8=CC=C9C%10=C8C=CC=C%10C%11=C%12C9=CC(CC(C)(C)C)=C(C(N(C(CCCCC)CCCCC)C%13=O)=O)C%12C%13C(CC(C)(C)C)=C%11)S6)C%14=C5C4=CC=C%14,1.3,1.3,6.73,0.22,0.8,1.91,1398.06,5.63,3.72
O=C(N(C(CCCCC)CCCCC)C1=O)C2=C(CC(C)(C)C)C=C(C3=C4C=C(CC(C)(C)C)C1C32)C5=CC=C(C6=CC=C(C7=CC=C(C8=CC=C(C9=CC=C%10C%11=C9C=CC=C%11C%12=C%13C%10=CC(CC(C)(C)C)=C(C(N(C(CCCCC)CCCCC)C%14=O)=O)C%13C%14C=C%12)S8)S7)S6)C%15=C5C4=CC=C%15,0.1,0.1,0.3,0.42,0.66,1.92,1410.05,5.61,3.69
O=C(N(C(CCCCC)CCCCC)C1=O)C2=CC(C(C=C3C(N(C(CCCCC)CCCCC)C4=O)=O)=C5C6=C3C4=CCC6=C7C8=C5C=CC9=C8C(C(N(C(CCCCC)CCCCC)C9=O)=O)=CC7)C(C%10=C%11C=CC1=C%102)=C%12CC=C%13C%14=C%12C%11=CC=C%14C(N(C(CCCCC)CCCCC)C%13=O)=O,5.32,5.27,13.01,0.533,0.76,2.21,1399.91,6.09,3.88
O=C(N(C(CCCCC)CCCCC)C1=O)C2=CC(C3=CC(C(C4=C5C=CC(C6C(C7=C8C=CC9=C7C(C(N(C(CCCCC)CCCCC)C9=O)=O)=C6)=C%10CC=C%11C%12=C%10C8=CC=C%12C(N(C(CCCCC)CCCCC)C%11=O)=O)=C4)(C%13=C5C=CC(C%14=CC%15=C%16C%17=C%14C%18=CC=C(C(N(C(CCCCC)CCCCC)C%19=O)=O)C(C%19=CC%20)=C%18C%20=C%17CC=C%16C(N(C(CCCCC)CCCCC)C%15=O)=O)=C%13)C%21=C%22C=CC(C%23=CC%24=C%25C%26=C%23C%27=CC=C(C(N(C(CCCCC)CCCCC)C%28=O)=O)C(C%28=CC%29)=C%27C%29=C%26CC=C%25C(N(C(CCCCC)CCCCC)C%24=O)=O)=C%21)=C%22C=C3)C(C%30=C%31C=CC1=C%302)=C%32CC=C%33C%34=C%32C%31=CC=C%34C(N(C(CCCCC)CCCCC)C%33=O)=O,6.44,6.32,13.36,0.536,0.9,2.19,3112.2,5.97,3.78
O=C(N(C(CCCCC)CCCCC)C1=O)C2=CC(C3=CC(C45C(C=C(C6=C(C7=C8C=CC9C7C(C(N(C(CCCCC)CCCCC)C9=O)=O)=C6)C%10=CC=C%11C%12=C%10C8=CC=C%12C(N(C(CCCCC)CCCCC)C%11=O)=O)C=C%13)C%13C%14=C4C=C(C%15=C(C%16=CC=C(C%17=O)C%18C%16=C%19C=CC%18C(N%17C(CCCCC)CCCCC)=O)C(C%19=CC=C%20C(N(C(CCCCC)CCCCC)C%21=O)=O)=C%20C%21=C%15)C=C%14)=C(C%22C5C=CC(C(C=C%23C(N(C(CCCCC)CCCCC)C%24=O)=O)=C%25C%26=C%23C%24=CC=C%26C%27=CC=C(C%28=O)C%29C%27=C%25C=CC%29C(N%28C(CCCCC)CCCCC)=O)=C%22)C=C3)=C(C%30=C%31C=CC1C%302)C%32=CC=C%33C%34=C%32C%31=CC=C%34C(N(C(CCCCC)CCCCC)C%33=O)=O,5.4,5.0,10.4,0.561,0.93,2.05,3120.26,5.8,3.75
